order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
2850500678,32423,29-03-2024 01:46,29-03-2024 01:59,13,4.84,Slightly Delayed,Traffic
7171106490,2312,17-08-2023 15:59,17-08-2023 15:57,-2,1.49,On Time,
3829771237,87568,24-11-2023 00:05,24-11-2023 00:08,3,4.08,On Time,Traffic
459643984,96765,17-07-2025 17:51,17-07-2025 17:52,1,3.21,On Time,Traffic
1316777473,43840,16-12-2023 13:34,16-12-2023 14:01,27,0.95,Significantly Delayed,Traffic
7511736375,53285,12-06-2023 14:54,12-06-2023 15:03,9,2.46,Slightly Delayed,Traffic
9078729924,34990,22-10-2024 21:06,22-10-2024 21:01,-5,3.44,On Time,
3818630716,28841,24-11-2024 01:59,24-11-2024 01:58,-1,1.9,On Time,
8585415558,51303,02-07-2024 01:54,02-07-2024 01:59,5,1.27,On Time,Traffic
3164636338,95460,26-06-2025 08:04,26-06-2025 07:59,-5,3.78,On Time,
1069569617,29913,29-12-2023 09:15,29-12-2023 09:34,19,4,Significantly Delayed,Traffic
8830652374,35179,25-05-2025 05:43,25-05-2025 05:48,5,0.77,On Time,Traffic
192325016,44752,09-08-2024 17:34,09-08-2024 17:29,-5,0.86,On Time,
6018926249,45760,21-11-2025 20:52,21-11-2025 21:06,14,0.75,Slightly Delayed,Traffic
758171239,33040,11-03-2025 21:46,11-03-2025 21:44,-2,1.09,On Time,
9687670406,76792,20-08-2023 03:16,20-08-2023 03:22,6,0.72,Slightly Delayed,Traffic
3836331811,85361,01-05-2025 16:16,01-05-2025 16:14,-2,3.43,On Time,
2304449471,80216,06-10-2024 12:45,06-10-2024 12:52,7,1.13,Slightly Delayed,Traffic
3049938096,53645,14-05-2025 13:05,14-05-2025 13:03,-2,0.58,On Time,
969452191,93614,16-09-2024 06:59,16-09-2024 06:59,0,2.58,On Time,
4088350993,53085,11-05-2023 19:06,11-05-2023 19:08,2,3.49,On Time,Traffic
2779255026,92429,15-06-2023 04:54,15-06-2023 05:01,7,1.19,Slightly Delayed,Traffic
3144468812,12333,19-10-2023 14:30,19-10-2023 14:33,3,3.54,On Time,Traffic
4914116817,63216,09-02-2025 18:32,09-02-2025 18:31,-1,4.77,On Time,
7247346786,68764,25-07-2024 00:12,25-07-2024 00:22,10,4.29,Slightly Delayed,Traffic
5025845984,10083,11-03-2023 23:50,11-03-2023 23:50,0,2.75,On Time,
494185217,62015,13-08-2024 19:23,13-08-2024 19:28,5,4.11,On Time,Traffic
3209159169,6921,23-02-2023 12:31,23-02-2023 12:34,3,2.8,On Time,Traffic
9365778969,74304,20-10-2025 21:48,20-10-2025 21:45,-3,1.11,On Time,
9709173476,60966,15-05-2025 04:43,15-05-2025 04:46,3,1.8,On Time,Traffic
1736691823,77408,20-07-2024 01:57,20-07-2024 02:15,18,3.29,Significantly Delayed,Traffic
764690702,9265,21-03-2025 20:48,21-03-2025 20:45,-3,0.5,On Time,
7593471025,84898,17-07-2024 12:06,17-07-2024 12:21,15,2.68,Slightly Delayed,Traffic
9853270521,78321,13-02-2023 22:53,13-02-2023 22:52,-1,3.88,On Time,
4288529188,47827,23-08-2024 22:52,23-08-2024 22:51,-1,3.05,On Time,
3154879255,2877,10-07-2023 21:53,10-07-2023 21:57,4,1.57,On Time,Traffic
8120837867,32879,27-08-2023 12:07,27-08-2023 12:03,-4,0.59,On Time,
